,label,pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
0,1.0,-7.623556403807988,-1.2194350619574585,2.646993928586488,2.2357856494564468,5.326809783180904,-4.442673961496709,-0.24738844069463947,1.1488378475895118,0.03489874370250726,0.7940044701241155
1,5.0,-1.1092440250395432,-3.154129608023329,-1.7296002533427883,4.136059499410763,5.954913234798947,-2.6738995331485675,0.9307701762525723,-2.655525253917524,2.917200594434981,3.3968985611269127
2,1.0,-7.894961017043568,-2.4643258202769074,2.8016903076288786,1.993067540095012,5.884014401349289,-3.5323570997962923,-0.41832315984887075,2.048254826819863,1.8599401573956775,-1.0832484286586614
3,7.0,-7.102076165406581,0.18534730624879658,-0.10043624269664421,0.6498378099573494,3.5321116746638506,1.9720301814765568,-3.5737889564306067,0.18015996731177997,-2.340467902950678,-1.5966478756979066
4,4.0,-5.520256519414043,2.183124494009303,-1.030550899330768,0.5600540510479642,-2.411440470872966,-5.1299330810545465,1.5779778208865989,-2.5350753594964215,2.3512199919383043,1.572412090253105
5,8.0,-0.9157098397366574,8.0273917052565,8.217682041571726,-4.987798770867318,-3.017749346058977,-0.2763075263457138,-1.3904966332653603,-1.6914678729330366,4.118858957544654,-2.486135092830342
6,9.0,-5.211980934383883,2.790118888242949,-3.080805974857681,1.9705392801315995,-4.799233035187189,-1.0393227468120319,1.5072078368698334,-3.1573478773675467,1.2243741136082558,-0.7985333103400891
7,5.0,-2.5818920783984853,-8.009973316320309,-2.25610605549146,-1.2897527961680808,2.107839481406738,3.126107873397187,2.054525210006767,0.5977113009856996,5.853381289965507,3.947248236504665
8,7.0,-4.629422742559712,6.72139408246647,-9.464527223182301,-0.7141545887120929,1.2490902914595459,0.2739505292714242,-1.467769458653878,7.560183325336869,-4.282721545131517,-0.6778233351614219
9,4.0,-0.49610386462340067,4.16210365249271,-2.9884756103821726,4.071059468935599,-1.6289463970959395,0.9170310759046573,0.7675527112807503,-4.487536340725795,-3.625072232241775,0.06502313930295262
10,7.0,-0.8506760050129244,3.3819801145067463,-9.805854807276345,1.1148856114353876,4.641698350558136,0.2808894690590094,-1.8932374227058149,4.443617997827441,-2.2902901962705373,1.8102263313534015
11,2.0,5.984751228695672,-3.460864041323923,-2.3266248472199904,5.304692863877323,2.9931950677084247,2.7897714091054686,2.1377969423585403,0.754637745713984,2.64852607818742,0.13387236129324864
12,2.0,-1.754244425925485,-3.8727092909284786,-3.007187521686283,-4.418701422500612,1.6936209147962606,2.918393255028897,-1.7756773039264733,-3.2988685960706565,-2.576564690369583,0.361384929486017
